Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1760000590.24,      0.00,      0.00,    558.00,    970.00,    867.00,    756.00,    605.00
1760000590.29,      0.00,     80.00,    553.00,   1052.00,    941.00,    735.00,    610.00
1760000590.33,      0.00,     80.00,    556.00,    596.00,   1234.00,    738.00,    558.00
1760000590.38,      0.00,     80.00,    555.00,    837.00,   2000.00,    701.00,    604.00
1760000590.42,      0.00,     80.00,    515.00,    563.00,    580.00,    484.00,    613.00
1760000590.46,      0.00,     80.00,    553.00,    599.00,   1082.00,    706.00,    614.00
1760000590.51,      0.00,     80.00,    552.00,   2000.00,   1035.00,    535.00,    640.00
1760000590.55,      0.00,     80.00,    551.00,    574.00,   1159.00,    933.00,    618.00
1760000590.60,    -73.00,     80.00,    549.00,    584.00,   2000.00,    975.00,    628.00
1760000590.64,    -90.00,     80.00,    548.00,    827.00,    799.00,   1006.00,    628.00
1760000590.69,    -90.00,     80.00,    541.00,    574.00,   2000.00,   1047.00,    648.00
1760000590.73,      0.00,     80.00,    543.00,    568.00,    573.00,    496.00,    592.00
1760000590.77,      0.00,     80.00,    538.00,    564.00,   1142.00,   1354.00,    637.00
1760000590.82,      0.00,     80.00,    541.00,    581.00,   2000.00,    949.00,    627.00
1760000590.87,      0.00,     80.00,    546.00,    743.00,   1162.00,   2000.00,    620.00
1760000590.91,      0.00,     80.00,    553.00,    746.00,    739.00,    563.00,    611.00
1760000590.95,      0.00,     80.00,    563.00,    864.00,    897.00,    682.00,    608.00
1760000590.99,      0.00,     80.00,    571.00,    873.00,   1223.00,    683.00,    598.00
1760000591.04,      0.00,     80.00,    580.00,    732.00,   1596.00,    677.00,    596.00
1760000591.09,      0.00,     80.00,    590.00,   1839.00,    972.00,    623.00,    589.00
1760000591.13,      0.00,     80.00,    599.00,    778.00,    685.00,    613.00,    583.00
1760000591.16,      0.00,     80.00,    607.00,    615.00,    756.00,    604.00,    577.00
1760000591.21,    -42.00,     80.00,    615.00,   1481.00,   2000.00,    599.00,    567.00
1760000591.26,    -90.00,     80.00,    622.00,   1419.00,    820.00,    592.00,    561.00
1760000591.30,    -90.00,     80.00,    632.00,    958.00,    712.00,    594.00,    543.00
1760000591.34,    -90.00,     80.00,    650.00,   1062.00,    771.00,    630.00,    556.00
1760000591.38,      0.00,     80.00,    723.00,    659.00,    649.00,    591.00,    555.00
1760000591.43,      0.00,     80.00,    725.00,   2000.00,   1173.00,    553.00,    538.00
1760000591.48,      0.00,     80.00,   1154.00,   2000.00,    768.00,    523.00,    515.00
1760000591.52,      0.00,     80.00,   1029.00,   1077.00,    551.00,    498.00,    498.00
1760000591.57,      0.00,     80.00,   1054.00,   2000.00,   1043.00,    462.00,    488.00
1760000591.62,      4.00,     80.00,   1102.00,   2000.00,    586.00,    423.00,    450.00
1760000591.66,     90.00,     80.00,    904.00,    642.00,    641.00,    428.00,    498.00
1760000591.70,     90.00,     80.00,   1043.00,   2000.00,    861.00,    371.00,    434.00
1760000591.75,     90.00,     80.00,    947.00,   2000.00,    766.00,    355.00,    379.00
1760000591.80,     90.00,     80.00,   1026.00,   2000.00,    694.00,    333.00,    360.00
1760000591.84,     90.00,     80.00,   1080.00,   2000.00,    583.00,    319.00,    333.00
1760000591.89,     90.00,     80.00,   1068.00,   2000.00,    608.00,    364.00,    315.00
1760000591.93,      0.00,     80.00,   1063.00,   1811.00,    554.00,    355.00,    288.00
1760000591.98,      0.00,     80.00,   1090.00,   2000.00,    575.00,    427.00,    280.00
1760000592.02,      0.00,     80.00,   1185.00,   1559.00,    944.00,    385.00,    290.00
1760000592.07,      0.00,     80.00,   1335.00,   1869.00,    709.00,    401.00,    304.00
1760000592.11,      0.00,     80.00,   1466.00,   2000.00,    554.00,    381.00,    307.00
1760000592.15,      0.00,     80.00,    576.00,    645.00,    598.00,    700.00,    304.00
1760000592.19,      0.00,     80.00,   1030.00,   1543.00,    870.00,    419.00,    322.00
1760000592.24,      0.00,     80.00,   1094.00,   1560.00,    800.00,   1109.00,    327.00
1760000592.30,      0.00,     80.00,   1032.00,   1685.00,    811.00,   2000.00,    341.00
1760000592.35,      0.00,     80.00,    855.00,   1480.00,    746.00,   2000.00,    348.00
1760000592.41,      0.00,     80.00,    878.00,   1723.00,   2000.00,   2000.00,    356.00
1760000592.46,      0.00,     80.00,    861.00,   1399.00,    686.00,   2000.00,    381.00
1760000592.51,      0.00,     80.00,    874.00,   1342.00,    650.00,   2000.00,    395.00
1760000592.55,      0.00,     80.00,    886.00,   1323.00,    615.00,    911.00,    411.00
1760000592.60,      0.00,     80.00,    898.00,   1315.00,    553.00,    587.00,    440.00
1760000592.64,      0.00,     80.00,   1028.00,    871.00,    539.00,    438.00,    446.00
1760000592.68,      0.00,     80.00,   1184.00,    691.00,    691.00,   2000.00,    478.00
1760000592.74,      0.00,     80.00,    932.00,   1274.00,    769.00,   2000.00,    495.00
1760000592.78,      0.00,     80.00,   1065.00,    569.00,   1073.00,    496.00,    509.00
1760000592.82,      0.00,     80.00,   1085.00,    892.00,    672.00,    891.00,    527.00
1760000592.86,      0.00,     80.00,   1033.00,    830.00,    639.00,   1180.00,    546.00
1760000592.91,      0.00,     80.00,   1100.00,    764.00,    615.00,   1004.00,    566.00
1760000592.95,      0.00,     80.00,   1033.00,    722.00,    588.00,    975.00,    575.00
1760000592.99,      0.00,     80.00,    873.00,    686.00,    642.00,   1063.00,    600.00
1760000593.03,      0.00,     80.00,    680.00,    570.00,    689.00,   1037.00,    620.00
1760000593.08,      0.00,     80.00,   1092.00,    613.00,    610.00,   1035.00,    663.00
1760000593.12,      0.00,     80.00,   1073.00,    569.00,    590.00,    492.00,    663.00
1760000593.16,      0.00,     80.00,    856.00,    565.00,    533.00,    779.00,    679.00
1760000593.19,     -2.00,     80.00,    554.00,    560.00,    483.00,    850.00,    698.00
1760000593.24,     -2.00,     80.00,    551.00,    856.00,   1171.00,    943.00,    720.00
1760000593.28,      0.00,     80.00,    551.00,    868.00,   1086.00,    956.00,    745.00
1760000593.33,      0.00,     80.00,    519.00,    940.00,    508.00,   1010.00,    767.00
1760000593.37,      0.00,     80.00,    514.00,    832.00,    945.00,   1266.00,    791.00
1760000593.41,      0.00,     80.00,    548.00,    604.00,    874.00,   1199.00,    816.00
1760000593.46,    -90.00,     80.00,    599.00,    857.00,    804.00,   1253.00,    848.00
1760000593.50,    -90.00,     80.00,    551.00,    860.00,    743.00,    559.00,    873.00
1760000593.55,    -90.00,     80.00,    860.00,    834.00,    571.00,   1058.00,    905.00
1760000593.59,    -90.00,     80.00,    833.00,    809.00,    621.00,   1394.00,   1037.00
1760000593.64,    -25.00,     80.00,    804.00,    790.00,    545.00,   1478.00,    890.00
1760000593.69,      0.00,     80.00,    777.00,    553.00,   1053.00,   1332.00,   1005.00
1760000593.73,      0.00,     80.00,    763.00,    419.00,   1112.00,   1071.00,   1033.00
1760000593.79,      0.00,     80.00,    754.00,    406.00,   2000.00,   2000.00,   1038.00
1760000593.84,      0.00,     80.00,    758.00,    381.00,   1364.00,    879.00,   2000.00
1760000593.89,      0.00,     80.00,    380.00,    865.00,    885.00,   1124.00,   1053.00
1760000593.94,      0.00,     80.00,    368.00,   1058.00,    982.00,    823.00,   2000.00
1760000593.98,      0.00,     80.00,    357.00,    889.00,   1009.00,    817.00,   1086.00
1760000594.03,      0.00,     80.00,    342.00,    993.00,   1193.00,   1513.00,   1101.00
1760000594.08,      0.00,     80.00,    363.00,    968.00,   1695.00,    835.00,   1131.00
1760000594.12,      0.00,     80.00,    373.00,    878.00,    871.00,    492.00,   1142.00
1760000594.17,      0.00,     80.00,    389.00,   1013.00,   1213.00,    829.00,   1156.00
