Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761113104.06,      0.00,     38.00,    246.00,    643.00,    974.00,    553.00,    668.00
1761113104.13,      1.00,     39.00,    247.00,    455.00,   1207.00,    679.00,    591.00
1761113104.20,      2.00,     38.00,    247.00,    781.00,    954.00,    405.00,    616.00
1761113104.28,      8.00,     39.00,    247.00,   2000.00,    992.00,    697.00,    558.00
1761113104.35,      4.00,     39.00,    247.00,   1046.00,   1207.00,    555.00,    638.00
1761113104.45,      5.00,     39.00,    247.00,   2000.00,    645.00,    645.00,    613.00
1761113104.51,      0.00,      0.00,    247.00,   1079.00,    844.00,    652.00,    616.00
1761113104.59,      0.00,      0.00,    247.00,   2000.00,   1131.00,    786.00,    620.00
1761113104.66,      0.00,      0.00,    247.00,   1240.00,   1208.00,    778.00,    620.00
1761113104.73,      0.00,      0.00,    247.00,   1047.00,   1000.00,    756.00,    620.00
1761113104.80,      0.00,      0.00,    247.00,    644.00,   1207.00,    770.00,    598.00
1761113104.87,      0.00,      0.00,    247.00,    589.00,   1208.00,    677.00,    625.00
1761113104.94,      0.00,      0.00,    247.00,   1089.00,   1019.00,    752.00,    621.00
1761113105.01,      0.00,      0.00,    247.00,    433.00,   1208.00,    766.00,    589.00
1761113105.08,      0.00,      0.00,    247.00,   1299.00,   1207.00,    360.00,    635.00
1761113105.16,      0.00,      0.00,    247.00,   2008.00,   1207.00,    680.00,    626.00
1761113105.23,      0.00,      0.00,    247.00,   1492.00,   1207.00,    666.00,    637.00
1761113105.31,      0.00,      0.00,    247.00,   2000.00,   1208.00,    677.00,    658.00
1761113105.38,      0.00,      0.00,    247.00,   1128.00,    907.00,    564.00,    639.00
1761113105.44,      0.00,      0.00,    247.00,    481.00,   1075.00,    307.00,    649.00
1761113105.51,      0.00,      0.00,    247.00,    429.00,   1207.00,    437.00,    658.00
1761113105.57,      0.00,      0.00,    247.00,    446.00,   1207.00,    654.00,    711.00
1761113105.64,      0.00,      0.00,    247.00,   1065.00,   1162.00,    281.00,    745.00
1761113105.71,      0.00,      0.00,    247.00,    398.00,   1207.00,    320.00,    732.00
1761113105.77,      0.00,      0.00,    248.00,   1061.00,    954.00,    180.00,    732.00
1761113105.84,      0.00,      0.00,    247.00,    743.00,   1208.00,    319.00,    719.00
1761113105.90,      0.00,      0.00,    247.00,    412.00,   1166.00,    362.00,    519.00
1761113105.97,      0.00,      0.00,    247.00,    418.00,   1211.00,    371.00,    501.00
1761113106.04,      0.00,      0.00,    247.00,   1116.00,    996.00,    383.00,    746.00
1761113106.10,      0.00,      0.00,    247.00,    450.00,   1207.00,    351.00,    699.00
1761113106.17,      0.00,      0.00,    247.00,    991.00,   1210.00,    415.00,    667.00
1761113106.25,      0.00,      0.00,    247.00,   2000.00,    944.00,    359.00,    614.00
1761113106.32,      0.00,      0.00,    247.00,   1860.00,   1207.00,    320.00,    514.00
1761113106.40,      0.00,      0.00,    247.00,   1988.00,   1207.00,    441.00,    488.00
1761113106.46,      0.00,      0.00,    247.00,    432.00,   1206.00,    417.00,    429.00
1761113106.53,      0.00,      0.00,    247.00,   1209.00,    748.00,    459.00,    395.00
1761113106.59,      0.00,      0.00,    247.00,   1115.00,    901.00,    214.00,    374.00
1761113106.66,      0.00,      0.00,    247.00,    422.00,   1210.00,    173.00,    385.00
1761113106.72,      0.00,      0.00,    247.00,    432.00,   1202.00,    211.00,    529.00
1761113106.79,      0.00,      0.00,    248.00,    535.00,   1207.00,    183.00,    442.00
1761113106.86,      0.00,      0.00,    241.00,   1007.00,   1207.00,    351.00,    554.00
1761113106.92,      0.00,      0.00,    247.00,    452.00,   1207.00,    266.00,    430.00
1761113106.99,      0.00,      0.00,    247.00,   1140.00,   1049.00,    350.00,    418.00
1761113107.05,      0.00,      0.00,    248.00,   1102.00,   1067.00,    314.00,    330.00
1761113107.12,      0.00,      0.00,    247.00,    491.00,   1207.00,    312.00,    438.00
1761113107.19,      0.00,      0.00,    247.00,    545.00,   1206.00,    343.00,    803.00
1761113107.27,      0.00,      0.00,    245.00,   2000.00,   1207.00,    360.00,    774.00
1761113107.34,      0.00,      0.00,    247.00,   1178.00,   1199.00,    307.00,   1005.00
1761113107.41,      0.00,      0.00,    247.00,    487.00,   1210.00,    371.00,   1008.00
1761113107.48,      0.00,      0.00,    247.00,    785.00,   1207.00,    214.00,    966.00
1761113107.55,      0.00,      0.00,    248.00,    426.00,   1206.00,    351.00,   1138.00
1761113107.62,      0.00,      0.00,    247.00,   1082.00,   1027.00,    237.00,   1031.00
1761113107.68,      0.00,      0.00,    247.00,    595.00,   1210.00,    394.00,    524.00
1761113107.75,      0.00,      0.00,    247.00,   1076.00,   1098.00,    403.00,   1100.00
1761113107.82,      0.00,      0.00,    247.00,   1177.00,   1207.00,    431.00,    792.00
1761113107.89,      0.00,      0.00,    247.00,    444.00,    627.00,    338.00,    958.00
1761113107.96,      0.00,      0.00,    247.00,    528.00,   1098.00,    373.00,    808.00
1761113108.02,      0.00,      0.00,    248.00,    496.00,   1210.00,    460.00,    425.00
1761113108.09,      0.00,      0.00,    247.00,   1339.00,    555.00,    482.00,    541.00
1761113108.15,      0.00,      0.00,    247.00,    426.00,    370.00,    484.00,    697.00
1761113108.22,      0.00,      0.00,    247.00,   1083.00,   1071.00,    249.00,    563.00
1761113108.29,      0.00,      0.00,    247.00,   2000.00,   1211.00,    483.00,    920.00
1761113108.37,      0.00,      0.00,    247.00,   1186.00,   1206.00,    482.00,    883.00
1761113108.44,      0.00,      0.00,    247.00,    962.00,   1207.00,    484.00,    774.00
1761113108.50,      0.00,      0.00,    247.00,    456.00,   1207.00,    494.00,    852.00
1761113108.57,      0.00,      0.00,    247.00,    427.00,   1207.00,    484.00,    766.00
1761113108.63,      0.00,      0.00,    247.00,    594.00,   1211.00,    449.00,    580.00
1761113108.70,      0.00,      0.00,    248.00,   1066.00,   1208.00,    423.00,    857.00
1761113108.77,      0.00,      0.00,    247.00,    501.00,   1211.00,    410.00,    852.00
