Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761122896.74,      2.00,     52.00,    473.00,    636.00,    687.00,   1091.00,    597.00
1761122896.81,      8.00,     57.00,    596.00,      5.00,   1706.00,    420.00,    598.00
1761122896.89,    -10.00,     58.00,    599.00,    448.00,   1113.00,   2000.00,    609.00
1761122896.96,    -12.00,     57.00,    600.00,    534.00,    955.00,    385.00,    609.00
1761122897.03,    -10.00,     57.00,    600.00,    576.00,    953.00,    362.00,    601.00
1761122897.10,    -14.00,     54.00,    607.00,    542.00,   1071.00,    687.00,    596.00
1761122897.17,     -1.00,     54.00,    607.00,    452.00,   1465.00,   1033.00,    595.00
1761122897.25,     -1.00,     59.00,    609.00,    651.00,   2000.00,    644.00,    596.00
1761122897.32,      0.00,     56.00,    610.00,    565.00,   2000.00,    649.00,    397.00
1761122897.40,     -1.00,     55.00,    441.00,    367.00,   2000.00,    629.00,    588.00
1761122897.47,     -3.00,     55.00,    604.00,    633.00,   1448.00,    591.00,    585.00
1761122897.54,      2.00,     56.00,    611.00,      5.00,   2000.00,    625.00,    400.00
1761122897.61,    -20.00,     56.00,    606.00,    672.00,    983.00,    645.00,    584.00
1761122897.68,    -23.00,     55.00,    607.00,    588.00,    807.00,    611.00,    575.00
1761122897.76,     15.00,     63.00,    604.00,   2000.00,    498.00,    606.00,     87.00
1761122897.84,     25.00,     52.00,    616.00,   2000.00,   2000.00,    385.00,    447.00
1761122897.91,    -12.00,     54.00,    626.00,    402.00,    964.00,    586.00,    557.00
1761122897.98,      0.00,     56.00,    634.00,    806.00,   1369.00,    565.00,    542.00
1761122898.05,    -17.00,     62.00,    642.00,    983.00,    978.00,    553.00,    549.00
1761122898.13,    -14.00,     64.00,    651.00,   1145.00,   1058.00,    558.00,    536.00
1761122898.20,    -14.00,     56.00,    661.00,    592.00,   1376.00,   1171.00,    555.00
1761122898.27,    -24.00,     62.00,    672.00,    888.00,    651.00,    486.00,    504.00
1761122898.34,     -9.00,     57.00,    679.00,    766.00,    993.00,    529.00,    490.00
1761122898.40,    -28.00,     61.00,    690.00,    863.00,    388.00,    514.00,    478.00
1761122898.47,     -5.00,     57.00,    709.00,    698.00,   1054.00,    495.00,    485.00
1761122898.55,     11.00,     52.00,    726.00,   1658.00,   1692.00,    477.00,    446.00
1761122898.61,    -21.00,     61.00,    749.00,    370.00,    428.00,    469.00,    445.00
1761122898.68,    -10.00,     59.00,    770.00,    569.00,    860.00,    449.00,    416.00
1761122898.75,    100.00,     68.00,    805.00,   1495.00,    547.00,    431.00,    426.00
1761122898.82,    100.00,     67.00,   1333.00,    583.00,    174.00,    403.00,    397.00
1761122898.89,    100.00,     61.00,    883.00,   1183.00,   1085.00,    385.00,    374.00
1761122898.96,    100.00,     67.00,   1056.00,    398.00,    963.00,    371.00,    354.00
1761122899.03,    100.00,     61.00,   1181.00,   1307.00,   1058.00,    385.00,    349.00
1761122899.10,    100.00,     61.00,    988.00,    334.00,    860.00,   1107.00,    349.00
1761122899.17,    -24.00,     59.00,    852.00,    342.00,    874.00,    772.00,    363.00
1761122899.25,    -29.00,     70.00,   1454.00,    420.00,   1234.00,    853.00,    412.00
1761122899.32,     -6.00,     57.00,    696.00,    400.00,   1752.00,    830.00,    457.00
