Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761123266.18,     -4.00,     56.00,    572.00,    315.00,    819.00,    483.00,    611.00
1761123266.25,     -5.00,     54.00,    574.00,    234.00,   1518.00,    966.00,    612.00
1761123266.32,    -12.00,     58.00,    575.00,    180.00,    265.00,    922.00,    612.00
1761123266.39,    -12.00,     55.00,    586.00,    612.00,   1152.00,    959.00,    620.00
1761123266.46,    -19.00,     56.00,    530.00,    677.00,    777.00,    946.00,    626.00
1761123266.53,     -5.00,     56.00,    572.00,    282.00,   1968.00,    634.00,    627.00
1761123266.60,     -9.00,     58.00,    566.00,    605.00,   1146.00,    669.00,    631.00
1761123266.67,     -9.00,     57.00,    580.00,    627.00,   1239.00,    871.00,    619.00
1761123266.74,     -9.00,     58.00,    563.00,    616.00,   1160.00,    684.00,    634.00
1761123266.80,    -14.00,     57.00,    563.00,    191.00,    279.00,    836.00,    623.00
1761123266.87,    -25.00,     64.00,    563.00,   1001.00,    720.00,    764.00,    623.00
1761123266.95,    -16.00,     69.00,    559.00,   1324.00,    488.00,    675.00,    621.00
1761123267.02,     -5.00,     67.00,    560.00,   1191.00,   1506.00,    685.00,    624.00
1761123267.09,    -16.00,     63.00,    563.00,    864.00,    971.00,    663.00,    622.00
1761123267.16,      2.00,     54.00,    567.00,     47.00,   1544.00,    556.00,    624.00
1761123267.24,     18.00,     61.00,    573.00,   1928.00,    412.00,   2000.00,    574.00
1761123267.31,    -10.00,     64.00,    579.00,    889.00,   1164.00,    579.00,    609.00
1761123267.38,    -20.00,     61.00,    586.00,    797.00,    857.00,    657.00,    576.00
1761123267.46,     -3.00,     62.00,    598.00,    777.00,   2000.00,    631.00,    575.00
1761123267.53,     -5.00,     57.00,    603.00,    423.00,   1878.00,    621.00,    576.00
1761123267.60,    -13.00,     61.00,    605.00,    726.00,   1036.00,    611.00,    578.00
1761123267.67,    -12.00,     62.00,    612.00,    772.00,   1111.00,    620.00,    572.00
1761123267.73,    -20.00,     57.00,    621.00,    256.00,    545.00,    626.00,    573.00
1761123267.80,    -28.00,     56.00,    627.00,    766.00,    946.00,   1060.00,    561.00
1761123267.88,     -3.00,     61.00,    642.00,    663.00,   2000.00,    594.00,    559.00
1761123267.95,     -9.00,     56.00,    672.00,    396.00,   1071.00,    581.00,    554.00
1761123268.01,    -15.00,     59.00,    708.00,    223.00,    800.00,    558.00,    545.00
1761123268.08,    -16.00,     58.00,    746.00,    410.00,    983.00,    554.00,    529.00
1761123268.15,     -2.00,     67.00,   1085.00,    407.00,   1459.00,    549.00,    533.00
1761123268.22,    -13.00,     66.00,   1041.00,    388.00,   1119.00,    514.00,    516.00
1761123268.29,     -8.00,     63.00,    896.00,    350.00,   1097.00,    491.00,    476.00
1761123268.37,     26.00,     54.00,   1061.00,   2000.00,   1290.00,    469.00,    478.00
1761123268.44,     89.00,     62.00,    876.00,    454.00,   1024.00,    461.00,    428.00
1761123268.51,    100.00,     63.00,    889.00,    375.00,    957.00,    420.00,    426.00
1761123268.58,    100.00,     60.00,   1354.00,   2000.00,    692.00,    417.00,    407.00
1761123268.65,     -8.00,     64.00,    960.00,    788.00,    318.00,    425.00,    383.00
1761123268.72,     -4.00,     65.00,   1039.00,    489.00,   1177.00,    453.00,    374.00
1761123268.78,    -29.00,     64.00,   1052.00,    489.00,    812.00,    652.00,    393.00
1761123268.86,    -41.00,     61.00,   1044.00,    749.00,    897.00,    928.00,    420.00
1761123268.93,    -26.00,     61.00,    879.00,    351.00,    974.00,    914.00,    462.00
1761123269.00,    -37.00,     57.00,    796.00,    802.00,    945.00,    931.00,    466.00
1761123269.07,    -40.00,     59.00,    762.00,   1044.00,   1027.00,   1123.00,    488.00
1761123269.15,    -33.00,     65.00,    885.00,    352.00,    950.00,   2000.00,    503.00
1761123269.22,     -3.00,     58.00,    572.00,    726.00,   1164.00,    600.00,    400.00
1761123269.29,    -39.00,     62.00,   1122.00,    686.00,    832.00,    918.00,    376.00
1761123269.36,    -26.00,     61.00,    893.00,    373.00,   1048.00,    958.00,    527.00
1761123269.43,     -6.00,     62.00,    891.00,    352.00,   1278.00,    576.00,    526.00
1761123269.49,    -23.00,     60.00,    787.00,    718.00,    904.00,    565.00,    472.00
1761123269.56,    -27.00,     63.00,   1036.00,    847.00,    742.00,    595.00,    515.00
1761123269.63,    -23.00,     59.00,    757.00,    623.00,    882.00,    550.00,    510.00
1761123269.70,    -26.00,     61.00,    772.00,    654.00,    658.00,    486.00,    502.00
1761123269.76,    -24.00,     63.00,    807.00,    945.00,    458.00,    508.00,    485.00
1761123269.83,    -21.00,     62.00,    751.00,    715.00,    655.00,    447.00,    481.00
1761123269.89,    -10.00,     58.00,    705.00,    347.00,    964.00,    483.00,    488.00
1761123269.96,    -29.00,     60.00,    795.00,    384.00,    546.00,    493.00,    440.00
1761123270.03,    -16.00,     62.00,    835.00,    616.00,    708.00,    429.00,    409.00
1761123270.09,      3.00,     68.00,   1088.00,    395.00,    630.00,    345.00,    342.00
1761123270.16,     35.00,     63.00,   1056.00,   1322.00,    985.00,    359.00,    379.00
