Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761030123.09,      0.00,     62.00,    954.00,   2000.00,    252.00,   1204.00,    268.00
1761030123.19,     -9.00,     62.00,    953.00,    569.00,   1187.00,    521.00,    268.00
1761030123.29,    -21.00,     64.00,    953.00,   1365.00,    597.00,   1055.00,    260.00
1761030123.40,      0.00,      0.00,    948.00,    814.00,    333.00,   1341.00,    251.00
1761030123.49,      0.00,      0.00,    372.00,    241.00,   1030.00,    883.00,    254.00
1761030123.60,      0.00,      0.00,    763.00,   2000.00,    549.00,   2026.00,    251.00
1761030123.70,      0.00,      0.00,    960.00,    990.00,   1072.00,    551.00,    274.00
1761030123.80,      0.00,      0.00,    995.00,    273.00,   1923.00,    949.00,    259.00
1761030123.90,      0.00,      0.00,   1002.00,    440.00,    905.00,   1484.00,    242.00
1761030124.00,      0.00,      0.00,    985.00,   1498.00,    378.00,    418.00,    262.00
1761030124.11,      0.00,      0.00,    977.00,   2000.00,    371.00,   2000.00,    253.00
1761030124.21,      0.00,      0.00,    985.00,   2000.00,    512.00,    596.00,    254.00
1761030124.31,      0.00,      0.00,    985.00,    962.00,    525.00,    584.00,    254.00
1761030124.43,      0.00,     60.00,    989.00,   1810.00,    970.00,   2000.00,    254.00
1761030124.53,      0.00,     60.00,    985.00,    287.00,   1312.00,    498.00,    254.00
1761030124.62,      0.00,     60.00,    907.00,    361.00,   1144.00,   1128.00,    274.00
1761030124.72,      0.00,     60.00,    976.00,    923.00,   1139.00,   1076.00,    260.00
1761030124.82,      0.00,     60.00,    895.00,    300.00,   1319.00,   1003.00,    248.00
1761030124.92,      0.00,     60.00,    973.00,   1316.00,    966.00,    775.00,    293.00
1761030125.02,     30.00,     60.00,    976.00,    850.00,    542.00,    892.00,    288.00
1761030125.11,      0.00,     60.00,    738.00,    638.00,   1005.00,   1090.00,    236.00
1761030125.20,      0.00,     60.00,    437.00,    508.00,    901.00,    572.00,    213.00
1761030125.30,      0.00,     60.00,    987.00,    347.00,    840.00,    839.00,    213.00
1761030125.41,      0.00,     60.00,    990.00,    542.00,   1233.00,    651.00,    216.00
1761030125.51,      0.00,     60.00,    995.00,    868.00,    694.00,    956.00,    239.00
1761030125.61,     30.00,     60.00,    997.00,    793.00,   1759.00,    414.00,    194.00
1761030125.70,      0.00,     60.00,    475.00,    351.00,    993.00,   2000.00,    222.00
1761030125.80,      0.00,     60.00,   1005.00,    651.00,    805.00,   1328.00,    181.00
1761030125.89,      0.00,     60.00,   1009.00,    414.00,    170.00,    426.00,    177.00
1761030125.99,      0.00,     60.00,   1018.00,   1034.00,    700.00,    325.00,    362.00
1761030126.09,      0.00,     60.00,   1019.00,   2000.00,    747.00,    296.00,    168.00
1761030126.18,      0.00,     60.00,    556.00,    446.00,   2000.00,    223.00,    161.00
1761030126.29,     30.00,     60.00,   1035.00,   2000.00,    871.00,    753.00,    174.00
1761030126.40,      0.00,     60.00,    479.00,   1237.00,   1924.00,   1286.00,    152.00
1761030126.50,      0.00,     60.00,   1053.00,    518.00,    643.00,   2000.00,    142.00
1761030126.60,      0.00,     60.00,   1057.00,    686.00,   1416.00,    915.00,    149.00
1761030126.70,      0.00,     60.00,   1084.00,    982.00,   1395.00,    909.00,    155.00
1761030126.80,      0.00,     60.00,   1064.00,    648.00,   1467.00,    967.00,    162.00
1761030126.90,      0.00,     60.00,    898.00,    417.00,   2000.00,    556.00,    162.00
1761030127.00,      0.00,     60.00,    701.00,    959.00,    433.00,   1377.00,    161.00
1761030127.09,      0.00,     60.00,   1521.00,    392.00,    906.00,    862.00,    161.00
1761030127.19,      0.00,     60.00,   1244.00,    538.00,    735.00,   2000.00,    165.00
1761030127.30,      0.00,     60.00,    914.00,   1998.00,    830.00,   2000.00,    143.00
1761030127.40,      0.00,     60.00,   1188.00,    361.00,    761.00,    856.00,    239.00
1761030127.50,      0.00,     60.00,   1484.00,    329.00,    968.00,    726.00,    203.00
1761030127.60,      0.00,     60.00,   1109.00,    736.00,    881.00,    550.00,     72.00
1761030127.71,     30.00,     60.00,   1636.00,    587.00,    593.00,    803.00,    165.00
1761030127.81,      0.00,     60.00,   1095.00,    651.00,   1325.00,    316.00,    193.00
1761030127.90,      0.00,     60.00,    543.00,    482.00,    763.00,    226.00,    149.00
1761030128.00,      0.00,     60.00,   1107.00,    426.00,   1536.00,    243.00,    146.00
1761030128.11,      0.00,     60.00,   1140.00,    470.00,    925.00,   2000.00,    139.00
1761030128.22,      0.00,     60.00,   1093.00,    919.00,   1811.00,    935.00,    146.00
1761030128.31,      0.00,     60.00,   1034.00,    784.00,    551.00,    507.00,    142.00
1761030128.41,      0.00,     60.00,   1135.00,    370.00,   1130.00,    995.00,    152.00
1761030128.53,      0.00,     60.00,   1463.00,   1722.00,    481.00,   2000.00,    152.00
1761030128.63,      0.00,     60.00,   1175.00,    386.00,   1653.00,   1215.00,    171.00
1761030128.73,      0.00,     60.00,    487.00,    454.00,    281.00,    639.00,    145.00
1761030128.83,      0.00,     60.00,   1401.00,    323.00,    926.00,    805.00,    155.00
1761030128.94,      0.00,     60.00,   1510.00,   1653.00,    747.00,   2000.00,    152.00
1761030129.04,      0.00,     60.00,   1093.00,    707.00,   1008.00,    734.00,    152.00
1761030129.14,      0.00,     60.00,   1105.00,    548.00,    853.00,   2000.00,    152.00
1761030129.24,      0.00,     60.00,   1086.00,    454.00,    892.00,    885.00,    155.00
1761030129.34,      0.00,     60.00,    868.00,    525.00,    834.00,   1121.00,    171.00
1761030129.43,      0.00,     60.00,   1058.00,    356.00,   1366.00,    363.00,    136.00
1761030129.54,      0.00,     60.00,   1475.00,    274.00,   1623.00,   1026.00,    146.00
