Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1761031701.43,     40.00,     40.00,   1691.00,   2000.00,    598.00,   2000.00,     41.00
1761031701.50,     19.00,     45.00,   1083.00,   2000.00,    581.00,    217.00,     41.00
1761031701.56,     -3.00,     43.00,    933.00,    484.00,    718.00,    220.00,     74.00
1761031701.62,     -8.00,     30.00,    884.00,    645.00,    724.00,    283.00,     85.00
1761031701.69,      3.00,     30.00,   1078.00,    420.00,    720.00,    286.00,     50.00
1761031701.75,      0.00,     30.00,    898.00,    351.00,    713.00,    283.00,     62.00
1761031701.82,      8.00,     30.00,   1062.00,   1555.00,    706.00,    229.00,     56.00
1761031701.88,      7.00,     30.00,   1118.00,    349.00,    704.00,    285.00,     41.00
1761031701.94,     -3.00,     30.00,   1055.00,    366.00,    695.00,    515.00,     74.00
1761031702.01,     19.00,     30.00,   1104.00,   2000.00,    529.00,    278.00,     41.00
1761031702.07,     12.00,     30.00,   1085.00,    353.00,    292.00,     73.00,     56.00
1761031702.14,     -9.00,     41.00,    730.00,   1048.00,    407.00,    981.00,     53.00
1761031702.20,     -7.00,     44.00,   1083.00,    362.00,    583.00,    758.00,     50.00
1761031702.27,     -5.00,     44.00,   1056.00,    480.00,    564.00,    484.00,     56.00
1761031702.34,      3.00,     48.00,   1071.00,    353.00,    584.00,   2000.00,     56.00
1761031702.41,     -6.00,     46.00,    914.00,    368.00,    551.00,   2000.00,    166.00
1761031702.50,      0.00,     46.00,   1037.00,   1828.00,    177.00,   2000.00,   2000.00
1761031702.56,     20.00,     44.00,   1076.00,    409.00,    432.00,     47.00,    762.00
1761031702.62,      6.00,     43.00,   1066.00,    440.00,    474.00,     74.00,     70.00
1761031702.68,      4.00,     41.00,   1061.00,    577.00,    429.00,     35.00,     62.00
1761031702.86,     56.00,     41.00,   1706.00,   2000.00,    432.00,     53.00,    356.00
1761031703.05,     43.00,     40.00,   1702.00,   2000.00,    490.00,   2000.00,     38.00
1761031703.12,     19.00,     45.00,   1079.00,   2000.00,    558.00,    209.00,     41.00
1761031703.18,     -3.00,     44.00,   1057.00,    386.00,    605.00,    488.00,     56.00
1761031703.25,      4.00,     43.00,   1083.00,    363.00,    725.00,    294.00,     50.00
1761031703.33,     18.00,     45.00,   1067.00,   2000.00,    549.00,    238.00,     41.00
1761031703.39,      0.00,     40.00,    990.00,    855.00,    356.00,    223.00,     53.00
1761031703.46,      2.00,     43.00,   1072.00,    421.00,    605.00,    281.00,     47.00
1761031703.53,     12.00,     44.00,    909.00,   1635.00,    187.00,    286.00,     62.00
1761031703.61,      1.00,     42.00,   1081.00,   2000.00,    553.00,   2000.00,     50.00
1761031703.68,    -15.00,     42.00,   1059.00,    801.00,    548.00,   1220.00,     38.00
1761031703.74,     -2.00,     45.00,   1057.00,    367.00,    485.00,    550.00,     44.00
1761031703.82,     -1.00,     40.00,   1106.00,   1632.00,    486.00,   2000.00,    165.00
1761031703.90,      9.00,     44.00,   1017.00,   1937.00,    411.00,    901.00,    353.00
1761031703.96,     10.00,     46.00,   1017.00,    351.00,    376.00,     73.00,    274.00
1761031704.02,     23.00,     45.00,   1016.00,    363.00,    348.00,     81.00,    922.00
1761031704.09,     23.00,     45.00,   1041.00,    372.00,    360.00,     61.00,    862.00
1761031704.27,     77.00,     49.00,   1703.00,   2000.00,    315.00,     53.00,   2000.00
1761031704.46,     45.00,     40.00,   1691.00,   2000.00,    358.00,   2000.00,     44.00
1761031704.53,    -12.00,     46.00,   1055.00,    615.00,    429.00,    780.00,    291.00
1761031704.60,     -7.00,     45.00,   1018.00,    765.00,    483.00,   2000.00,     50.00
1761031704.67,     -8.00,     44.00,    921.00,    358.00,    483.00,    770.00,     53.00
1761031704.74,      0.00,     40.00,    882.00,   1166.00,    370.00,    288.00,     41.00
1761031704.80,     -9.00,     42.00,    856.00,    642.00,    495.00,    264.00,     50.00
1761031704.86,      0.00,     44.00,    840.00,    413.00,    488.00,    211.00,     59.00
1761031704.92,     -6.00,     45.00,   1034.00,    352.00,    458.00,    885.00,     47.00
1761031704.98,      0.00,     44.00,    937.00,    408.00,    429.00,    217.00,     59.00
1761031705.05,     -3.00,     45.00,   1056.00,    375.00,    411.00,    613.00,     38.00
1761031705.13,      5.00,     44.00,    882.00,   2000.00,    497.00,   1596.00,     50.00
1761031705.20,     21.00,     44.00,   1060.00,    310.00,   1202.00,     82.00,    769.00
1761031705.26,      9.00,     45.00,    896.00,    356.00,    317.00,     61.00,    299.00
1761031705.33,     50.00,     41.00,   1701.00,    850.00,    302.00,     53.00,   1174.00
1761031705.53,     71.00,     52.00,   1716.00,   1865.00,   2000.00,     52.00,   2000.00
1761031705.72,     45.00,     40.00,   1694.00,   2000.00,    351.00,   2000.00,    152.00
1761031705.79,     -9.00,     43.00,    895.00,    341.00,   1077.00,    911.00,     41.00
1761031705.85,     -2.00,     46.00,   1110.00,    347.00,    425.00,    821.00,     59.00
1761031705.91,      4.00,     44.00,   1071.00,    406.00,    471.00,    225.00,     71.00
1761031705.98,     -1.00,     46.00,   1066.00,    352.00,    415.00,    580.00,     53.00
1761031706.04,     -7.00,     45.00,    968.00,    407.00,    429.00,    670.00,     44.00
1761031706.11,    -10.00,     45.00,    932.00,    738.00,    445.00,   2000.00,     59.00
1761031706.18,     -7.00,     44.00,    877.00,    336.00,    433.00,    791.00,     44.00
1761031706.24,     -2.00,     46.00,   1066.00,    306.00,    409.00,    910.00,     32.00
1761031706.31,     -3.00,     45.00,   1092.00,    384.00,    367.00,   1304.00,     59.00
1761031706.38,     -3.00,     44.00,   1176.00,    492.00,    372.00,   1334.00,     68.00
1761031706.47,     54.00,     37.00,   2000.00,   1934.00,    671.00,    942.00,    175.00
1761031706.54,      7.00,     42.00,    821.00,    358.00,   1371.00,     53.00,    407.00
1761031706.60,      9.00,     43.00,    857.00,    462.00,    281.00,     73.00,    560.00
1761031706.67,      5.00,     42.00,    821.00,    402.00,   1106.00,     64.00,    548.00
1761031706.86,     61.00,     54.00,   1238.00,   2000.00,   2000.00,     61.00,   2000.00
1761031707.06,     39.00,     40.00,   1706.00,   2000.00,    707.00,   2000.00,     56.00
1761031707.13,    -11.00,     43.00,    938.00,    351.00,   1168.00,   1071.00,     50.00
1761031707.20,    -10.00,     45.00,    922.00,    713.00,    417.00,   2000.00,     59.00
1761031707.27,    -19.00,     39.00,    597.00,    650.00,   1145.00,    985.00,     68.00
1761031707.33,     -3.00,     44.00,    980.00,    416.00,    552.00,    338.00,     68.00
1761031707.41,    -12.00,     45.00,   1026.00,    567.00,    781.00,   2000.00,     62.00
1761031707.47,     -7.00,     44.00,    807.00,    384.00,    429.00,    687.00,     10.00
1761031707.54,    -14.00,     43.00,    983.00,    720.00,    385.00,   1144.00,     53.00
1761031707.61,    -15.00,     42.00,    813.00,    584.00,    346.00,    898.00,     41.00
1761031707.68,    -15.00,     42.00,    970.00,    458.00,    929.00,    942.00,     41.00
1761031707.75,     21.00,     48.00,    802.00,   1995.00,    416.00,    211.00,    254.00
1761031707.82,     33.00,     45.00,    995.00,    424.00,   1493.00,     56.00,   1622.00
1761031707.91,    -46.00,     52.00,    828.00,    360.00,    992.00,   2000.00,   2000.00
1761031707.99,     -7.00,     41.00,    673.00,    656.00,    832.00,    929.00,   2000.00
1761031708.05,      2.00,     42.00,    808.00,    468.00,    973.00,     58.00,    538.00
1761031708.14,     -6.00,     41.00,    871.00,   1780.00,    873.00,   2000.00,    146.00
1761031708.20,     19.00,     45.00,    997.00,    358.00,    183.00,     59.00,    634.00
1761031708.27,    -11.00,     45.00,    809.00,    351.00,    183.00,   1230.00,    545.00
1761031708.34,      2.00,     42.00,    858.00,   1784.00,    183.00,   2000.00,    156.00
1761031708.42,      4.00,     44.00,    456.00,   1779.00,    184.00,   2000.00,    210.00
1761031708.49,      7.00,     48.00,   1231.00,    438.00,    183.00,   1110.00,    424.00
1761031708.56,     -1.00,     48.00,    907.00,    328.00,    183.00,    879.00,    103.00
1761031708.62,     -4.00,     46.00,    813.00,    307.00,    183.00,   1078.00,     74.00
1761031708.68,     -6.00,     45.00,    882.00,    454.00,    184.00,    689.00,     67.00
1761031708.75,     -3.00,     47.00,    985.00,    421.00,    183.00,   1090.00,     74.00
1761031708.82,    -10.00,     46.00,    831.00,    342.00,    183.00,   1105.00,    710.00
1761031708.89,    -13.00,     45.00,    822.00,    346.00,    182.00,   1641.00,    632.00
1761031708.95,      0.00,     48.00,    992.00,    344.00,    183.00,   1066.00,     74.00
1761031709.02,     -8.00,     43.00,    840.00,    660.00,    183.00,   1558.00,     74.00
1761031709.09,     -7.00,     45.00,    808.00,    431.00,    183.00,   1028.00,     73.00
1761031709.15,      0.00,     47.00,    974.00,    347.00,    183.00,   1130.00,     74.00
1761031709.23,      1.00,     42.00,    788.00,   1774.00,    183.00,   2000.00,     74.00
1761031709.30,     -6.00,     42.00,    634.00,    377.00,    183.00,    810.00,   2000.00
1761031709.38,      3.00,     41.00,    996.00,   1624.00,    183.00,   2000.00,     74.00
1761031709.45,     -5.00,     42.00,    816.00,    784.00,    183.00,   2000.00,     74.00
1761031709.53,      4.00,     43.00,    995.00,   1784.00,    184.00,   1939.00,    521.00
1761031709.60,     11.00,     49.00,   1039.00,    326.00,    209.00,   2000.00,     74.00
1761031709.68,    -22.00,     43.00,    810.00,    352.00,    183.00,   1107.00,   2000.00
1761031709.75,    -15.00,     45.00,    821.00,    400.00,    183.00,   1310.00,    654.00
1761031709.83,    -27.00,     42.00,    848.00,    788.00,    760.00,   2000.00,     73.00
1761031709.90,      2.00,     42.00,    815.00,   1788.00,    166.00,   2000.00,     73.00
1761031709.97,      8.00,     41.00,   1222.00,    953.00,    183.00,    877.00,     73.00
1761031710.04,     -6.00,     46.00,    889.00,    428.00,    177.00,   1101.00,     74.00
1761031710.11,      1.00,     45.00,    825.00,    892.00,    183.00,    582.00,    764.00
1761031710.17,     -4.00,     47.00,    862.00,    349.00,    183.00,    961.00,    333.00
1761031710.24,     -6.00,     46.00,    837.00,    395.00,    183.00,    965.00,    356.00
1761031710.32,     40.00,     40.00,   1675.00,   1033.00,    183.00,    931.00,     74.00
1761031710.40,    -25.00,     44.00,    937.00,    496.00,    183.00,   1477.00,   2000.00
1761031710.46,      1.00,     47.00,   1047.00,    372.00,    184.00,   1656.00,    148.00
1761031710.56,      1.00,     45.00,    900.00,   1773.00,    157.00,   2000.00,   1495.00
1761031710.63,      9.00,     49.00,   1056.00,    370.00,    183.00,   2000.00,    133.00
1761031710.71,      1.00,     42.00,    805.00,   1756.00,    184.00,   2000.00,    146.00
1761031710.78,     -4.00,     46.00,    865.00,    470.00,    217.00,   2000.00,    146.00
1761031710.85,     -3.00,     42.00,    973.00,    859.00,    209.00,   2000.00,    146.00
1761031710.92,      0.00,     47.00,    823.00,    349.00,    183.00,   2000.00,    146.00
1761031710.99,     -7.00,     43.00,    827.00,    715.00,    183.00,   2000.00,    146.00
1761031711.06,     -1.00,     46.00,    797.00,    358.00,    184.00,   2011.00,    146.00
1761031711.13,     -9.00,     39.00,    626.00,   1192.00,    183.00,   2000.00,    146.00
1761031711.20,      0.00,     47.00,    850.00,    354.00,    183.00,   2000.00,    146.00
1761031711.27,     -7.00,     43.00,    621.00,    351.00,    184.00,   2000.00,    144.00
1761031711.35,      1.00,     40.00,   1012.00,   1109.00,    183.00,   2000.00,    146.00
1761031711.43,      4.00,     42.00,   1007.00,   1776.00,    167.00,   2000.00,    146.00
1761031711.51,     -8.00,     40.00,    820.00,    964.00,    183.00,   2000.00,    146.00
1761031711.58,      3.00,     42.00,    996.00,   1776.00,    196.00,   2000.00,    143.00
1761031711.65,     -7.00,     44.00,    817.00,    351.00,    183.00,   1644.00,    146.00
1761031711.73,      3.00,     43.00,    841.00,   1789.00,    119.00,   2000.00,    146.00
1761031711.80,    -14.00,     41.00,    556.00,    565.00,    176.00,   2000.00,    146.00
1761031711.87,     12.00,     46.00,   1230.00,    598.00,    183.00,   2015.00,    145.00
1761031711.94,     -8.00,     45.00,    829.00,    375.00,    171.00,   1626.00,    146.00
1761031712.01,     -6.00,     44.00,   1062.00,    600.00,    218.00,   1350.00,    146.00
1761031712.09,      1.00,     42.00,    642.00,   1776.00,    184.00,   2000.00,    146.00
1761031712.16,     -6.00,     45.00,    857.00,    356.00,    170.00,   1633.00,    146.00
1761031712.23,     -5.00,     43.00,    840.00,    936.00,    139.00,   1008.00,    146.00
1761031712.31,      4.00,     42.00,   1014.00,   1772.00,    171.00,   2000.00,    146.00
1761031712.38,      2.00,     42.00,    854.00,   1776.00,    171.00,   2000.00,    146.00
1761031712.45,      0.00,     47.00,    821.00,    356.00,    181.00,   2000.00,    146.00
1761031712.52,    -11.00,     44.00,    824.00,    537.00,    183.00,   1455.00,    145.00
1761031712.59,     -1.00,     47.00,    850.00,    411.00,    183.00,   2000.00,    145.00
1761031712.68,      0.00,     45.00,   1003.00,   1772.00,    170.00,   2000.00,   1498.00
1761031712.75,    -23.00,     46.00,    816.00,    388.00,    167.00,   1625.00,   1473.00
1761031712.83,    -21.00,     47.00,    838.00,    347.00,    187.00,   1636.00,   1462.00
1761031712.91,    -17.00,     50.00,    866.00,    379.00,    167.00,   2000.00,   1463.00
1761031712.98,    -15.00,     46.00,    914.00,    442.00,    167.00,   1488.00,    768.00
1761031713.04,      1.00,     46.00,    846.00,    284.00,    215.00,    680.00,    225.00
1761031713.12,    -18.00,     48.00,   1024.00,    347.00,    880.00,    988.00,   1593.00
1761031713.20,    -21.00,     48.00,    954.00,    382.00,   1089.00,   1023.00,   1675.00
1761031713.27,     -5.00,     43.00,    887.00,    349.00,   1056.00,    550.00,    303.00
1761031713.34,     -1.00,     41.00,    905.00,    970.00,    538.00,    465.00,    440.00
1761031713.41,     15.00,     45.00,    662.00,   1726.00,    286.00,    550.00,    497.00
1761031713.49,    -11.00,     45.00,    848.00,    527.00,    796.00,    611.00,    546.00
1761031713.56,     -6.00,     47.00,   1003.00,    343.00,   1039.00,    741.00,    634.00
1761031713.64,    -30.00,     45.00,   1033.00,    412.00,   1177.00,   1529.00,    652.00
1761031713.71,    -10.00,     51.00,   1079.00,    635.00,   1156.00,    788.00,    646.00
1761031713.78,     -3.00,     47.00,    961.00,    349.00,   1067.00,    637.00,    682.00
1761031713.86,    -10.00,     50.00,   1039.00,    612.00,   1594.00,    788.00,    665.00
1761031713.94,     -7.00,     49.00,   1030.00,    365.00,   1455.00,    783.00,    669.00
1761031714.02,    -10.00,     47.00,   1078.00,    351.00,   1972.00,    789.00,    671.00
1761031714.09,     -9.00,     46.00,    878.00,    326.00,   1455.00,    789.00,    633.00
1761031714.16,    -12.00,     50.00,   1029.00,    641.00,    896.00,    791.00,    624.00
1761031714.23,    -12.00,     50.00,   1023.00,    620.00,   1058.00,    782.00,    665.00
